time,truth_x,truth_y,truth_vx,truth_vy,est_x,est_y,est_vx,est_vy,prior_x,prior_y,innovation_x,innovation_y
1774216186.0000,1233.2792,-1378.8171,72.5458,-81.1069,1154.4655,-1290.7026,72.9539,-81.5631,0.0000,0.0000,1233.2792,-1378.8171
1774216202.0000,2457.2154,-2779.8732,76.4960,-87.5660,2442.3074,-2759.6095,80.2626,-91.4975,2321.7284,-2595.7129,135.4871,-184.1603
1774216242.0000,5923.4775,-6705.0541,86.6566,-98.1295,5920.5188,-6701.9327,91.4638,-103.3144,5652.8123,-6419.5076,270.6652,-285.5464
1774216259.0000,7427.7044,-8395.2170,88.4839,-99.4213,7432.3404,-8401.3460,88.8228,-99.8229,7475.4026,-8458.2779,-47.6981,63.0610
1774216277.0000,9062.7337,-10085.3798,90.8350,-93.8979,9059.8760,-10095.5847,90.5337,-93.7134,9031.1515,-10198.1586,31.5822,112.7788
1774216285.0000,9903.6059,-10952.7003,105.1090,-108.4151,9871.9323,-10924.2219,96.5957,-99.1637,9784.1459,-10845.2915,119.4600,-107.4087
1774216291.0000,10501.5595,-11586.5114,99.6589,-105.6352,10483.4192,-11562.1179,98.8702,-102.2223,10451.5063,-11519.2043,50.0532,-67.3070
1774216300.0000,11220.9724,-12642.8632,79.9348,-117.3724,11266.9573,-12594.3215,91.5690,-109.9293,11373.2506,-12482.1184,-152.2783,-160.7447
1774216310.0000,11585.3503,-13843.7684,36.4378,-120.0905,11742.1246,-13804.3572,62.0572,-117.3483,12182.6476,-13693.6149,-597.2973,-150.1534
1774216318.0000,11594.6933,-15055.7931,1.1679,-151.5031,11792.6232,-14959.6853,31.8057,-132.0374,12238.5824,-14743.1433,-643.8890,-312.6498
1774216327.0000,11220.9724,-16256.6983,-41.5246,-133.4339,11471.3007,-16224.9873,-9.2394,-137.2368,12078.8741,-16148.0215,-857.9018,-108.6768
1774216337.0000,10688.4200,-17424.2450,-53.2552,-116.7547,10868.4489,-17469.3798,-43.4229,-128.6668,11378.9062,-17597.3558,-690.4862,173.1107
1774216354.0000,9698.0594,-19625.9046,-58.2565,-129.5094,9749.8593,-19629.5972,-67.3447,-126.9615,10130.2602,-19656.7149,-432.2008,30.8103
1774216361.0000,9240.2512,-20615.5394,-65.4012,-141.3764,9251.6221,-20586.5990,-69.2152,-131.7220,9278.4465,-20518.3274,-38.1954,-97.2120
