time,truth_x,truth_y,truth_vx,truth_vy,est_x,est_y,est_vx,est_vy,prior_x,prior_y,innovation_x,innovation_y
1774216897.0000,-105.7385,-522.6162,-17.6231,-87.1027,-75.2874,-372.1104,-7.6371,-37.7468,0.0000,0.0000,-105.7385,-522.6162
1774216907.0000,-480.6295,-1123.0688,-37.4891,-60.0453,-425.3877,-1060.3511,-28.4678,-61.3965,-151.6588,-749.5788,-328.9707,-373.4899
1774216913.0000,-807.4576,-1556.7290,-54.4713,-72.2767,-738.0142,-1514.6550,-38.4518,-67.4456,-596.1948,-1428.7304,-211.2628,-127.9986
1774216921.0000,-1220.7990,-2057.1061,-51.6677,-62.5471,-1163.7091,-2056.1654,-46.4541,-67.5774,-1045.6287,-2054.2195,-175.1704,-2.8867
1774216930.0000,-1759.1041,-2590.8418,-59.8117,-59.3040,-1706.0443,-2612.8429,-54.8284,-64.1050,-1581.7962,-2664.3622,-177.3079,73.5204
1774216937.0000,-2403.1477,-2968.9045,-92.0062,-54.0090,-2293.8208,-3001.2428,-68.7976,-59.9730,-2089.8434,-3061.5781,-313.3042,92.6736
1774216945.0000,-3143.3171,-3135.6969,-92.5212,-20.8490,-3043.4599,-3250.9826,-82.4042,-44.2641,-2844.2017,-3481.0270,-299.1154,345.3301
1774216952.0000,-3989.2251,-3068.9800,-120.8440,9.5310,-3856.4006,-3246.0568,-98.5909,-22.6846,-3620.2895,-3560.8315,-368.9356,491.8515
1774216959.0000,-4719.7820,-2779.8732,-104.3653,41.3010,-4655.7815,-3010.7530,-106.0868,4.3567,-4546.5371,-3404.8491,-173.2449,624.9759
1774216985.0000,-7324.7941,-1334.3391,-100.1928,55.5975,-7329.1244,-1410.1862,-101.2105,89.7662,-7414.0394,-2897.4796,89.2453,1563.1405
1774217008.0000,-9602.9780,-88.9559,-99.0515,54.1471,-9605.8461,-49.4633,-98.3909,50.9408,-9656.9660,654.4367,53.9879,-743.3926
1774217023.0000,-11208.2807,767.2450,-107.0202,57.0801,-11192.9587,760.8780,-105.3329,53.8255,-11081.7090,714.6488,-126.5717,52.5962
1774217048.0000,-13717.1668,2023.7477,-100.3554,50.2601,-13721.9972,2027.4117,-99.7094,49.5599,-13826.2803,2106.5160,109.1135,-82.7683
1774217055.0000,-14438.1111,2401.8104,-102.9920,54.0090,-14432.9303,2393.9655,-100.6319,50.9567,-14419.9632,2374.3307,-18.1479,27.4797
1774217062.0000,-15197.5058,2980.0240,-108.4850,82.6019,-15177.7734,2904.7837,-103.5582,62.1145,-15137.3538,2750.6624,-60.1520,229.3616
1774217071.0000,-15822.3242,3869.5834,-69.4243,98.8399,-15905.5645,3752.0893,-89.6129,81.7983,-16109.7968,3463.8142,287.4726,405.7692
1774217077.0000,-16139.5397,4748.0234,-52.8692,146.4067,-16253.9835,4557.6703,-76.5544,103.5183,-16443.2420,4242.8790,303.7023,505.1444
1774217085.0000,-16302.9537,5837.7336,-20.4268,136.2138,-16496.2916,5682.6706,-51.1872,123.8636,-16866.4189,5385.8168,563.4652,451.9169
1774217093.0000,-16312.5663,6927.4439,-1.2016,136.2138,-16509.5176,6843.1604,-24.1706,135.4251,-16905.7890,6673.5798,593.2227,253.8642
1774217099.0000,-16312.5663,7917.0788,0.0000,164.9391,-16446.5746,7814.6578,-9.8084,146.4020,-16654.5414,7655.7112,341.9751,261.3676
1774217107.0000,-16331.7915,9206.9399,-2.4031,161.2326,-16399.1956,9129.8340,-1.1695,156.2843,-16525.0418,8985.8739,193.2503,221.0660
1774217122.0000,-16447.1426,11586.5114,-7.6901,158.6381,-16442.1683,11568.1201,-2.8462,162.4836,-16416.7384,11474.0990,-30.4042,112.4123
1774217138.0000,-16687.4573,14266.3091,-15.0197,167.4874,-16663.5370,14254.5193,-13.7154,167.8407,-16487.7080,14167.8576,-199.7493,98.4515
1774217160.0000,-17206.5372,18347.1629,-23.5945,185.4934,-17191.8585,18322.8173,-26.5360,189.1046,-16965.2760,17947.0156,-241.2612,400.1473
1774217175.0000,-17581.4283,21093.6776,-24.9927,183.1010,-17582.4642,21101.7132,-26.0729,185.5119,-17589.8992,21159.3861,8.4709,-65.7086
1774217190.0000,-17927.4815,23673.3999,-23.0702,171.9815,-17933.4469,23700.7164,-23.5707,174.0540,-17973.5574,23884.3910,46.0759,-210.9911
1774217212.0000,-18475.3992,27732.0147,-24.9053,184.4825,-18473.9644,27719.6204,-24.8162,184.8133,-18452.0031,27529.9050,-23.3960,202.1097
1774217225.0000,-18802.2273,30245.0200,-25.1406,193.3081,-18801.3668,30226.3194,-25.1241,191.5043,-18796.5754,30122.1934,-5.6519,122.8267
1774217250.0000,-19388.5953,34826.2510,-23.4547,183.2492,-19390.4466,34834.7513,-23.0037,181.7682,-19429.4696,35013.9269,40.8743,-187.6759
1774217281.0000,-20167.2151,40875.2550,-25.1168,195.1292,-20165.7390,40865.8472,-25.9868,200.7804,-20103.5601,40469.5642,-63.6551,405.6908
1774217296.0000,-20570.9439,44044.3104,-26.9153,211.2704,-20569.1193,44024.5567,-26.8416,210.0352,-20555.5408,43877.5535,-15.4031,166.7569
1774217322.0000,-21234.2127,49125.9186,-25.5103,195.4465,-21235.5127,49140.1742,-25.1755,191.7651,-21267.0020,49485.4728,32.7893,-359.5543
1774217330.0000,-21455.3023,50916.1569,-27.6362,223.7798,-21450.5750,50853.9693,-26.1356,204.3952,-21436.9168,50674.2951,-18.3855,241.8618
1774217347.0000,-21859.0311,54040.7343,-23.7488,183.7987,-21863.0288,54072.8456,-24.1544,188.4817,-21894.8802,54328.6872,35.8491,-287.9528
1774217365.0000,-22301.2103,57510.0161,-24.5655,192.7379,-22300.8941,57505.8805,-24.3389,190.8944,-22297.8085,57465.5158,-3.4018,44.5003
1774217387.0000,-22849.1279,61779.9012,-24.9053,194.0857,-22848.3709,61775.4974,-25.0146,194.8255,-22836.3492,61705.5583,-12.7787,74.3429
1774217411.0000,-23445.1085,66472.3271,-24.8325,195.5177,-23445.2767,66471.3485,-24.8284,195.9086,-23448.7205,66451.3083,3.6119,21.0188
1774217435.0000,-24079.5395,71353.7844,-26.4346,203.3941,-24077.7751,71345.4806,-26.8029,205.2008,-24041.1592,71173.1544,-38.3803,180.6300
1774217462.0000,-24771.6460,76657.7824,-25.6336,196.4444,-24772.6574,76665.5227,-25.3265,193.9015,-24801.4523,76885.9034,29.8063,-228.1210
1774217469.0000,-24915.8349,78247.8699,-20.5984,227.1554,-24925.5289,78183.9106,-23.5737,205.4660,-24949.9428,78022.8332,34.1079,225.0367
1774217479.0000,-24848.5468,80193.7811,6.7288,194.5911,-24923.2743,80204.4839,-7.0954,203.1059,-25161.2660,80238.5702,312.7193,-44.7891
1774217489.0000,-24521.7187,82217.5288,32.6828,202.3748,-24637.1287,82221.9286,16.6353,202.2012,-24994.2283,82235.5425,472.5096,-18.0138
1774217498.0000,-24002.6388,84030.0061,57.6755,201.3864,-24136.1474,84033.2374,40.1816,201.6313,-24487.4112,84041.7391,484.7724,-11.7330
1774217507.0000,-23281.6945,85764.6469,80.1049,192.7379,-23421.2094,85788.2208,63.9713,197.6115,-23774.5129,85847.9188,492.8184,-83.2719
