time,lat,lon,altitude_ft,heading_deg,icao24,callsign
1774216891,30.1765,-97.6571,997.4,180.0,aaa954,SWA698
1774216897,30.1718,-97.6582,997.4,200.0,aaa954,SWA698
1774216907,30.1664,-97.6621,1998.0,217.0,aaa954,SWA698
1774216913,30.1625,-97.6655,1998.0,217.0,aaa954,SWA698
1774216921,30.158,-97.6698,1998.0,220.0,aaa954,SWA698
1774216930,30.1532,-97.6754,1998.0,231.0,aaa954,SWA698
1774216937,30.1498,-97.6821,1998.0,247.0,aaa954,SWA698
1774216945,30.1483,-97.6898,1998.0,264.0,aaa954,SWA698
1774216952,30.1489,-97.6986,2998.7,282.0,aaa954,SWA698
1774216959,30.1515,-97.7062,2998.7,297.0,aaa954,SWA698
1774216985,30.1645,-97.7333,3999.3,298.0,aaa954,SWA698
1774217008,30.1757,-97.757,5000.0,298.0,aaa954,SWA698
1774217023,30.1834,-97.7737,5997.4,297.0,aaa954,SWA698
1774217048,30.1947,-97.7998,6998.0,296.0,aaa954,SWA698
1774217055,30.1981,-97.8073,7998.7,299.0,aaa954,SWA698
1774217062,30.2033,-97.8152,7998.7,314.0,aaa954,SWA698
1774217071,30.2113,-97.8217,7998.7,332.0,aaa954,SWA698
1774217077,30.2192,-97.825,7998.7,345.0,aaa954,SWA698
1774217085,30.229,-97.8267,8999.3,357.0,aaa954,SWA698
1774217093,30.2388,-97.8268,8999.3,0.0,aaa954,SWA698
1774217099,30.2477,-97.8268,8999.3,0.0,aaa954,SWA698
1774217107,30.2593,-97.827,10000.0,358.0,aaa954,SWA698
1774217122,30.2807,-97.8282,10000.0,356.0,aaa954,SWA698
1774217138,30.3048,-97.8307,10000.0,353.0,aaa954,SWA698
1774217160,30.3415,-97.8361,10997.4,352.0,aaa954,SWA698
1774217175,30.3662,-97.84,11998.0,352.0,aaa954,SWA698
1774217190,30.3894,-97.8436,12998.7,352.0,aaa954,SWA698
1774217212,30.4259,-97.8493,13999.3,352.0,aaa954,SWA698
1774217225,30.4485,-97.8527,15000.0,352.0,aaa954,SWA698
1774217250,30.4897,-97.8588,15997.4,352.0,aaa954,SWA698
1774217281,30.5441,-97.8669,16998.0,352.0,aaa954,SWA698
1774217296,30.5726,-97.8711,17998.7,352.0,aaa954,SWA698
1774217322,30.6183,-97.878,18999.3,352.0,aaa954,SWA698
1774217330,30.6344,-97.8803,20000.0,352.0,aaa954,SWA698
1774217347,30.6625,-97.8845,20997.4,352.0,aaa954,SWA698
1774217365,30.6937,-97.8891,21998.0,352.0,aaa954,SWA698
1774217387,30.7321,-97.8948,22998.7,352.0,aaa954,SWA698
1774217411,30.7743,-97.901,23999.3,352.0,aaa954,SWA698
1774217435,30.8182,-97.9076,25000.0,352.0,aaa954,SWA698
1774217462,30.8659,-97.9148,25997.4,352.0,aaa954,SWA698
1774217469,30.8802,-97.9163,25997.4,357.0,aaa954,SWA698
1774217479,30.8977,-97.9156,26998.0,5.0,aaa954,SWA698
1774217489,30.9159,-97.9122,26998.0,12.0,aaa954,SWA698
1774217498,30.9322,-97.9068,26998.0,19.0,aaa954,SWA698
1774217507,30.9478,-97.8993,27998.7,23.0,aaa954,SWA698
1774217526,30.9804,-97.8829,27998.7,23.0,aaa954,SWA698
1774217599,31.1107,-97.818,28999.3,23.0,aaa954,SWA698
1774217637,31.1814,-97.7825,30000.0,23.0,aaa954,SWA698
1774217664,31.2346,-97.7556,30997.4,23.0,aaa954,SWA698
1774217702,31.3067,-97.7192,31998.0,23.0,aaa954,SWA698
1774217738,31.3752,-97.6845,32998.7,23.0,aaa954,SWA698
1774217772,31.4396,-97.6519,33999.3,23.0,aaa954,SWA698
1774217808,31.5081,-97.6174,35000.0,23.0,aaa954,SWA698
1774217848,31.5833,-97.5793,35997.4,23.0,aaa954,SWA698
1774217897,31.6746,-97.5329,36998.0,23.0,aaa954,SWA698
1774217944,31.7618,-97.4886,37998.7,23.0,aaa954,SWA698
1774218039,31.939,-97.398,38999.3,23.0,aaa954,SWA698
1774218134,32.1191,-97.3043,40000.0,23.0,aaa954,SWA698
1774218171,32.1904,-97.2676,40997.4,23.0,aaa954,SWA698
